id,Item,Parent,Description,WBS,Team,Manager,Product Owner,Service/SW/HW,Package List,LDM-230,LDM-148,LDM-129
NUMINTEG,Num Integration,SCIPRIM,Numerical integration,1.02C.04.01,DRP,John Swinbank,Jim Bosch,SW,afw,,,
RANDOM,Random Numbers,SCIPRIM,Random number generation,1.02C.04.01,DRP,John Swinbank,Jim Bosch,SW,afw,,,
FIELDS,Approx 2-D Fields,SCIPRIM,Interpolation and approximation of 2-D fields,1.02C.03.05,AP,John Swinbank,Eric Bellm,SW,afw,,,
FUNCTION,Common Functions,SCIPRIM,Common functions and source profiles,1.02C.03.05,AP,John Swinbank,Eric Bellm,SW,afw,,,
CAMDESC,Camera Descr,SCIPRIM,Camera descriptions,1.02C.03.05,AP,John Swinbank,Eric Bellm,SW,afw,,,
NUMOPTIM,Num Optimization,SCIPRIM,Numerical optimization,1.02C.04.01,DRP,John Swinbank,Jim Bosch,SW,afw,,,
MCSAMP,MC Sampling,SCIPRIM,Monte Carlo sampling,1.02C.04.01,DRP,John Swinbank,Jim Bosch,SW,afw,,,
PSF,Point-Spread Funcs,SCIPRIM,Point-spread functions,1.02C.03.05,AP,John Swinbank,Eric Bellm,SW,meas_algorithms/shapelet,,,
WARP,Warping,SCIPRIM,Warping,1.02C.04.01,DRP,John Swinbank,Jim Bosch,SW,afw,,,
FT,Fourier Transforms,SCIPRIM,Fourier transforms,1.02C.03.05,AP,John Swinbank,Eric Bellm,SW,afw,,,
TREES,Tree Structures,SCIPRIM,Tree structures (for searching),1.02C.03.05,AP,John Swinbank,Eric Bellm,SW,afw,,,
SCITOOLS,Science Tools,SCIPRIM,Science tools,1.02C.04.01,DRP,John Swinbank,Jim Bosch,SW,afw/utils,,,
DRPDB,DRP-Internal DB,DRSCI,DRP-internal database,1.02C.06.01.01,DAX,Fritz Mueller,,SW,daf_ingest,,,
LSP,Science Platform,DMSYS,LSST Science Platform,Multiple,Multiple,William O Mullane,Leanne Guy,SW,,,,
LSPPRTL,LSP Portal,LSP,LSST Science Platform Portal Aspect,1.02C.05,SUIT,Xiuqin Wu,Gregory Dubois-Felsmann,SW,,,,
FIREFLY,Firefly,LSPPRTL,LSST-independent Firefly framework and visualization capabilities,1.02C.05.06 ,SUIT,Xiuqin Wu,Gregory Dubois-Felsmann,SW,firefly,,,
FFLYAPI,Firefly Python APIs,LSPPRTL,Low-level Python API to Firefly,1.02C.05.07,SUIT,Xiuqin Wu,Gregory Dubois-Felsmann,SW,firefly_client,,,
PRTLINTF,Portal Interfaces,LSPPRTL,Interfaces to DAX + user workspace + SuperTask + identity management,1.02C.05.07,SUIT,Xiuqin Wu,Gregory Dubois-Felsmann,SW,,,,
PRTLVIS,Visualizers,LSPPRTL,Firefly components to visualize LSST Science Pipelines data objects,1.02C.05.07,SUIT,Xiuqin Wu,Gregory Dubois-Felsmann,SW,,,,
PRTLAPPS,Portal Applications,LSPPRTL,Web application(s) implementing the Portal,1.02C.05.08,SUIT,Xiuqin Wu,Gregory Dubois-Felsmann,SW,,,,
PRTLALRT,SUI Alert Interfaces,LSPPRTL,Portal alert interfaces to configure alert subscriptions,1.02C.05.09,SUIT,Xiuqin Wu,Gregory Dubois-Felsmann,SW,,,,
